number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
211,2026/4/10,230018.IB,230018,"20,330,825","1,163,820,000.00",1.6575,"2,694",7.3753
212,2026/4/9,230018.IB,230018,"20,330,825","602,050,000.00",1.66,"2,695",7.3781
213,2026/4/10,230017.IB,230017,"20,260,815","500,000,000.00",1.0499,127,0.3479
214,2026/4/9,230017.IB,230017,"20,260,815","1,820,000,000.00",1.0499,128,0.3507
215,2026/4/10,230015.IB,230015,"20,280,715","20,000,000.00",1.255,827,2.263
216,2026/4/9,230015.IB,230015,"20,280,715","354,000,000.00",1.2525,828,2.2658
217,2026/4/10,230014.IB,230014,"20,300,625","400,000,000.00",1.44,"1,537",4.2082
218,2026/4/9,230014.IB,230014,"20,300,625","3,091,800,000.00",1.44,"1,538",4.211
219,2026/4/10,230012.IB,230012,"20,330,525","275,680,000.00",1.6325,"2,602",7.1233
220,2026/4/9,230012.IB,230012,"20,330,525","65,020,000.00",1.6324,"2,603",7.126
221,2026/4/10,230009.IB,230009,"20,530,415","960,000,000.00",2.315,"9,867",27.0137
222,2026/4/9,230009.IB,230009,"20,530,415","791,880,000.00",2.338,"9,868",27.0164
223,2026/4/10,230008.IB,230008,"20,280,415","2,070,800,000.00",1.22,736,2.0137
224,2026/4/9,230008.IB,230008,"20,280,415","81,230,000.00",1.22,737,2.0164
225,2026/4/10,230007.IB,230007,"20,730,325",0,2.45,"17,151",46.9562
226,2026/4/9,230007.IB,230007,"20,730,325",0,2.45,"17,152",46.9589
227,2026/4/10,230006.IB,230006,"20,300,325","620,000,000.00",1.355,"1,445",3.9562
228,2026/4/9,230006.IB,230006,"20,300,325","330,000,000.00",1.35,"1,446",3.9589
229,2026/4/10,230004.IB,230004,"20,330,225","90,330,000.00",1.584,"2,513",6.8795
230,2026/4/9,230004.IB,230004,"20,330,225","252,000,000.00",1.585,"2,514",6.8822
