number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
249,2026/4/10,09230220.IB,9230220,"20,430,724","988,000,000.00",2.2571,"6,314",17.2877
250,2026/4/9,09230220.IB,9230220,"20,430,724","1,317,000,000.00",2.2525,"6,315",17.2904
251,2026/4/10,092302002.IB,92302002,"20,300,710","240,000,000.00",1.6725,"1,552",4.2493
252,2026/4/9,092302002.IB,92302002,"20,300,710","50,000,000.00",1.67,"1,553",4.2521
253,2026/4/10,092302001.IB,92302001,"20,300,109","160,000,000.00",1.6525,"1,370",3.7507
254,2026/4/9,092302001.IB,92302001,"20,300,109","100,000,000.00",1.645,"1,371",3.7534
255,2026/4/10,090224.IB,90224,"20,291,222",0,1.6137,"1,352",3.7014
256,2026/4/9,090224.IB,90224,"20,291,222",0,1.6158,"1,353",3.7041
257,2026/4/10,090219.IB,90219,"20,291,104",0,1.6324,"1,304",3.5699
258,2026/4/9,090219.IB,90219,"20,291,104",0,1.6347,"1,305",3.5726
259,2026/4/10,090206.IB,90206,"20,290,708",0,1.5713,"1,185",3.2438
260,2026/4/9,090206.IB,90206,"20,290,708",0,1.5737,"1,186",3.2466
261,2026/4/10,080211.IB,80211,"20,280,624",0,1.5557,806,2.2055
262,2026/4/9,080211.IB,80211,"20,280,624","200,000,000.00",1.56,807,2.2082
263,2026/4/10,080209.IB,80209,"20,280,610",0,0.3904,792,2.1671
264,2026/4/9,080209.IB,80209,"20,280,610",0,0.3962,793,2.1699
265,2026/4/10,070207.IB,70207,"20,270,524",--,--,409,1.1205
266,2026/4/9,070207.IB,70207,"20,270,524",--,--,410,1.1233
267,2026/4/10,060224.IB,60224,"20,361,030",0,1.9542,"3,856",10.5562
268,2026/4/9,060224.IB,60224,"20,361,030",0,1.9546,"3,857",10.5589
269,2026/4/10,060219.IB,60219,"20,260,905",--,--,148,0.4055
270,2026/4/9,060219.IB,60219,"20,260,905",--,--,149,0.4082
271,2026/4/10,050220.IB,50220,"20,351,011",0,1.8908,"3,471",9.5041
272,2026/4/9,050220.IB,50220,"20,351,011","80,000,000.00",1.8914,"3,472",9.5068
273,2026/4/10,010221.IB,10221,"20,320,112",0,1.7259,"2,103",5.7589
274,2026/4/9,010221.IB,10221,"20,320,112",0,1.7271,"2,104",5.7616
,,,,,,,,
数据来源：同花顺iFinD,,,,,,,,
